[CH;!R;CSn]
[C;R;BrCCO]
[C;!R;BrCFO]
[c;R;OOO]
[C;!R;ClSiSiSi]
[C;R;BrCCN]
[C;R;CCNSi]
[P;R;NNOO]
[S;R;NNO]
[P;!R;OOO]
[C;!R;BrCS]
[S;!R;CCNN]
[C;R;NNNS]
[CH;R;OOO]
[CH;R;NOS]
[C;R;CCOSi]
[N;R;SS]
[S;R;CCN]
[[N+];!R;CO]
[S;R;NNN]
